;"Activity type","Duration","From","To","Comment"
"Study","01:30","2019-06-06 16:44","2019-06-06 18:15",
"Conscious entertainment ","01:12","2019-06-06 15:32","2019-06-06 16:44",
"Transport","00:37","2019-06-06 14:54","2019-06-06 15:32",
"Productivity ","03:22","2019-06-06 11:32","2019-06-06 14:54",
"Transport","00:48","2019-06-06 10:43","2019-06-06 11:32",
"Class","01:52","2019-06-06 08:50","2019-06-06 10:43",
"Transport","00:58","2019-06-06 07:52","2019-06-06 08:50",
"Routine","00:09","2019-06-06 07:42","2019-06-06 07:52",
"Sleep","04:10","2019-06-06 03:30","2019-06-06 07:40",""
"Default actions","02:50","2019-06-06 00:40","2019-06-06 03:30",""
"Routine","00:20","2019-06-06 00:19","2019-06-06 00:40",""
"Study","05:22","2019-06-05 18:57","2019-06-06 00:19",
"Food","00:22","2019-06-05 18:35","2019-06-05 18:57",
"Conscious entertainment ","00:59","2019-06-05 17:35","2019-06-05 18:35",
"Default actions","01:19","2019-06-05 16:15","2019-06-05 17:35",
"Productivity ","01:23","2019-06-05 14:52","2019-06-05 16:15",
"Transport","00:30","2019-06-05 14:22","2019-06-05 14:52",
"Food","00:11","2019-06-05 14:10","2019-06-05 14:22",
"Work Orphic","00:23","2019-06-05 13:47","2019-06-05 14:10",
"Sport","01:25","2019-06-05 12:21","2019-06-05 13:47",
"Transport","00:34","2019-06-05 11:46","2019-06-05 12:21",
"Food","00:13","2019-06-05 11:33","2019-06-05 11:46",
"Routine","00:00","2019-06-05 11:33","2019-06-05 11:33",
"Work Orphic","00:51","2019-06-05 10:41","2019-06-05 11:33",
"Routine","00:11","2019-06-05 10:29","2019-06-05 10:41",
"Sleep","10:05","2019-06-05 00:24","2019-06-05 10:29",
"Routine","00:13","2019-06-05 00:11","2019-06-05 00:24",
"Social / family","01:42","2019-06-04 22:28","2019-06-05 00:11",
"Productivity ","00:25","2019-06-04 22:03","2019-06-04 22:28",
"Food","00:44","2019-06-04 21:18","2019-06-04 22:03",
"Transport","00:21","2019-06-04 21:18","2019-06-04 21:40",
"Work CAIJ intra","00:42","2019-06-04 20:02","2019-06-04 20:45",""
"Productivity ","00:49","2019-06-04 19:13","2019-06-04 20:02",
"Transport","00:19","2019-06-04 18:53","2019-06-04 19:13",
"Work CAIJ intra","00:50","2019-06-04 18:03","2019-06-04 18:53",
"Work CAIJ corpo","01:09","2019-06-04 16:53","2019-06-04 18:03",
"Transport","00:49","2019-06-04 16:04","2019-06-04 16:53",
"Sport","01:53","2019-06-04 14:10","2019-06-04 16:04",
"Transport","00:32","2019-06-04 13:38","2019-06-04 14:10",
"Work Orphic","01:51","2019-06-04 11:47","2019-06-04 13:38",
"Work CAIJ corpo","00:06","2019-06-04 11:41","2019-06-04 11:47",
"Routine","00:23","2019-06-04 11:13","2019-06-04 11:37",
"Food","00:28","2019-06-04 10:45","2019-06-04 11:13",
"Sleep","08:31","2019-06-04 02:13","2019-06-04 10:44",
"Routine","00:28","2019-06-04 00:48","2019-06-04 01:17",
"Transport","00:26","2019-06-04 00:21","2019-06-04 00:48",
"Food","01:01","2019-06-03 23:12","2019-06-04 00:13",
"Transport","00:19","2019-06-03 22:53","2019-06-03 23:12",
"Sport","02:30","2019-06-03 20:23","2019-06-03 22:53",
"Conscious entertainment ","01:12","2019-06-03 19:10","2019-06-03 20:23",
"Productivity ","01:10","2019-06-03 18:00","2019-06-03 19:10",
"Productivity ","00:16","2019-06-03 17:44","2019-06-03 18:00",
"Conscious entertainment ","01:53","2019-06-03 15:50","2019-06-03 17:43",
"Work Orphic","00:51","2019-06-03 14:59","2019-06-03 15:50",
"Food","01:08","2019-06-03 13:02","2019-06-03 14:10",
"Study","00:00","2019-06-03 13:02","2019-06-03 13:02",
"Productivity ","00:10","2019-06-03 12:52","2019-06-03 13:02",
"Routine","00:05","2019-06-03 12:46","2019-06-03 12:52",
"Sleep","11:42","2019-06-03 01:03","2019-06-03 12:46",
"Conscious entertainment ","01:07","2019-06-02 23:56","2019-06-03 01:03",
"Food","00:25","2019-06-02 23:30","2019-06-02 23:56",
"Social / family","01:49","2019-06-02 21:41","2019-06-02 23:30",
"Transport","00:36","2019-06-02 21:05","2019-06-02 21:41",
"Work Orphic","00:50","2019-06-02 20:14","2019-06-02 21:05",
"Productivity ","01:22","2019-06-02 18:51","2019-06-02 20:14",
"Social / family","03:47","2019-06-02 15:04","2019-06-02 18:51",
"Conscious entertainment ","00:22","2019-06-02 14:42","2019-06-02 15:04",
"Conscious entertainment ","00:17","2019-06-02 14:24","2019-06-02 14:42",
"Food","00:54","2019-06-02 13:30","2019-06-02 14:24",
"Routine","00:12","2019-06-02 13:17","2019-06-02 13:30",
"Me time","02:22","2019-06-02 10:55","2019-06-02 13:17",
"Sleep","09:45","2019-06-02 00:45","2019-06-02 10:30",""
"Conscious entertainment ","01:10","2019-06-01 23:34","2019-06-02 00:45",""
"Routine","00:28","2019-06-01 23:06","2019-06-01 23:34",
"Transport","00:18","2019-06-01 22:48","2019-06-01 23:06",
"Social / family","04:10","2019-06-01 18:37","2019-06-01 22:48",
"Food","00:41","2019-06-01 17:56","2019-06-01 18:37",
"Transport","00:14","2019-06-01 17:41","2019-06-01 17:56",
"Sport","02:27","2019-06-01 15:13","2019-06-01 17:41",
"Transport","00:10","2019-06-01 15:02","2019-06-01 15:13",
"Productivity ","00:26","2019-06-01 14:36","2019-06-01 15:02",
"Conscious entertainment ","00:21","2019-06-01 14:15","2019-06-01 14:36",
"Study","01:53","2019-06-01 12:21","2019-06-01 14:15",
"Conscious entertainment ","00:59","2019-06-01 11:21","2019-06-01 12:21",
"Transport","00:07","2019-06-01 11:14","2019-06-01 11:21",
"Food","00:24","2019-06-01 10:49","2019-06-01 11:14",
"Transport","00:17","2019-06-01 10:31","2019-06-01 10:49",
"Routine","00:17","2019-06-01 10:14","2019-06-01 10:31",
"Sleep","08:59","2019-06-01 01:14","2019-06-01 10:14",
"Conscious entertainment ","03:10","2019-05-31 22:04","2019-06-01 01:14",
"Productivity ","00:16","2019-05-31 21:47","2019-05-31 22:04",
"Conscious entertainment ","00:11","2019-05-31 21:36","2019-05-31 21:47",
"Productivity ","00:15","2019-05-31 21:21","2019-05-31 21:36",
"Study","01:22","2019-05-31 19:58","2019-05-31 21:21",
"Conscious entertainment ","01:07","2019-05-31 18:51","2019-05-31 19:58",
"Food","00:32","2019-05-31 18:19","2019-05-31 18:51",
"Study","00:28","2019-05-31 17:51","2019-05-31 18:19",
"Work Orphic","00:16","2019-05-31 17:34","2019-05-31 17:51",
"Routine","00:20","2019-05-31 17:14","2019-05-31 17:34",
"Default actions","00:00","2019-05-31 17:14","2019-05-31 17:14",
"Productivity ","01:18","2019-05-31 15:55","2019-05-31 17:14",
"Transport","00:37","2019-05-31 15:17","2019-05-31 15:55",
"Productivity ","01:52","2019-05-31 13:25","2019-05-31 15:17",
"Food","00:23","2019-05-31 13:02","2019-05-31 13:25",
"Transport","00:19","2019-05-31 12:43","2019-05-31 13:02",
"Sport","02:11","2019-05-31 10:31","2019-05-31 12:43",
"Transport","00:19","2019-05-31 10:11","2019-05-31 10:31",
"Routine","00:14","2019-05-31 09:57","2019-05-31 10:11",
"Sleep","10:38","2019-05-30 23:18","2019-05-31 09:57",
"Routine","00:05","2019-05-30 23:13","2019-05-30 23:18",
"Me time","00:18","2019-05-30 22:55","2019-05-30 23:13",
"Food","00:07","2019-05-30 22:47","2019-05-30 22:54",
"Work CAIJ corpo","00:23","2019-05-30 22:23","2019-05-30 22:47",
"Productivity ","00:39","2019-05-30 21:44","2019-05-30 22:23",
"Social / family","04:18","2019-05-30 17:25","2019-05-30 21:43",
"Transport","00:18","2019-05-30 17:06","2019-05-30 17:25",
"Routine","00:20","2019-05-30 16:46","2019-05-30 17:06",
"Food","00:33","2019-05-30 15:52","2019-05-30 16:25",
"Sport","01:34","2019-05-30 14:17","2019-05-30 15:52",
"Work Orphic","00:31","2019-05-30 13:45","2019-05-30 14:17",
"Transport","00:49","2019-05-30 12:56","2019-05-30 13:45",
"Food","00:30","2019-05-30 12:25","2019-05-30 12:56",
"Class","01:31","2019-05-30 10:54","2019-05-30 12:25",
"Work CAIJ intra","00:26","2019-05-30 10:53","2019-05-30 11:20",
"Class","01:57","2019-05-30 08:56","2019-05-30 10:53",
"Transport","00:35","2019-05-30 08:20","2019-05-30 08:56",
"Sleep","07:48","2019-05-30 00:23","2019-05-30 08:11",
"Conscious entertainment ","03:43","2019-05-29 20:39","2019-05-30 00:23",
"Food","00:47","2019-05-29 19:51","2019-05-29 20:39",
"Conscious entertainment ","01:42","2019-05-29 18:09","2019-05-29 19:51",
"Productivity ","02:16","2019-05-29 15:52","2019-05-29 18:09",
"Work Orphic","00:17","2019-05-29 15:34","2019-05-29 15:52",
"Work CBO","02:15","2019-05-29 13:18","2019-05-29 15:33",
"Food","00:42","2019-05-29 12:36","2019-05-29 13:18",
"Transport","00:20","2019-05-29 12:16","2019-05-29 12:36",
"Sleep","09:08","2019-05-29 01:07","2019-05-29 10:15",""
"Routine","01:00","2019-05-29 00:06","2019-05-29 01:07",""
"Social / family","02:36","2019-05-28 21:30","2019-05-29 00:06",
"Food","01:29","2019-05-28 20:00","2019-05-28 21:29",
"Default actions","00:31","2019-05-28 19:29","2019-05-28 20:00",
"Productivity ","02:04","2019-05-28 17:24","2019-05-28 19:29",
"Transport","00:59","2019-05-28 16:25","2019-05-28 17:24",
"Sport","02:18","2019-05-28 14:06","2019-05-28 16:25",
"Transport","00:23","2019-05-28 13:42","2019-05-28 14:06",
"Work Orphic","00:47","2019-05-28 12:55","2019-05-28 13:42",
"Productivity ","00:32","2019-05-28 12:23","2019-05-28 12:55",
"Transport","00:41","2019-05-28 11:42","2019-05-28 12:23",
"Class","02:28","2019-05-28 09:13","2019-05-28 11:42",
"Transport","00:53","2019-05-28 08:19","2019-05-28 09:13",
"Routine","00:09","2019-05-28 08:10","2019-05-28 08:19",
"Sleep","07:21","2019-05-28 00:48","2019-05-28 08:10",
"Conscious entertainment ","02:31","2019-05-27 21:47","2019-05-28 00:18",
"Routine","00:23","2019-05-27 21:23","2019-05-27 21:47",
"Food","00:59","2019-05-27 20:17","2019-05-27 21:16",
"Productivity ","00:46","2019-05-27 19:30","2019-05-27 20:17",
"Social / family","00:29","2019-05-27 19:00","2019-05-27 19:30",
"Food","00:29","2019-05-27 19:00","2019-05-27 19:30",
"Transport","00:32","2019-05-27 18:06","2019-05-27 18:38",
"Sport","02:27","2019-05-27 15:38","2019-05-27 18:05",
"Productivity ","00:24","2019-05-27 15:13","2019-05-27 15:38",
"Food","00:35","2019-05-27 14:38","2019-05-27 15:13",
"Transport","00:41","2019-05-27 13:56","2019-05-27 14:38",
"Productivity ","00:50","2019-05-27 13:06","2019-05-27 13:56",
"Study","00:00","2019-05-27 13:06","2019-05-27 13:06",
"Default actions","01:57","2019-05-27 11:09","2019-05-27 13:06",
"Food","00:35","2019-05-27 10:34","2019-05-27 11:09",
"Routine","00:17","2019-05-27 10:16","2019-05-27 10:34",
"Sleep","08:42","2019-05-27 01:33","2019-05-27 10:16",
"Routine","00:41","2019-05-27 00:51","2019-05-27 01:33",
"Conscious entertainment ","04:54","2019-05-26 19:57","2019-05-27 00:51",
"Food","01:16","2019-05-26 18:41","2019-05-26 19:57",
"Productivity ","01:02","2019-05-26 17:25","2019-05-26 18:28",
"Study","00:31","2019-05-26 16:53","2019-05-26 17:25",
"Work Orphic","02:16","2019-05-26 14:37","2019-05-26 16:53",
"Productivity ","00:53","2019-05-26 13:44","2019-05-26 14:37",
"Food","00:22","2019-05-26 13:08","2019-05-26 13:31",
"Productivity ","00:29","2019-05-26 12:39","2019-05-26 13:08",
"Work Orphic","02:02","2019-05-26 10:36","2019-05-26 12:39",
"Routine","00:35","2019-05-26 10:01","2019-05-26 10:36",
"Food","00:31","2019-05-26 09:16","2019-05-26 09:48",
"Transport","00:20","2019-05-26 08:56","2019-05-26 09:16",
"Routine","00:07","2019-05-26 08:48","2019-05-26 08:56",
"Sleep","09:12","2019-05-25 23:35","2019-05-26 08:48",
"Transport","01:03","2019-05-25 22:32","2019-05-25 23:35",
"Conscious entertainment ","02:31","2019-05-25 20:01","2019-05-25 22:32",
"Food","00:38","2019-05-25 19:22","2019-05-25 20:01",
"Social / family","01:07","2019-05-25 18:14","2019-05-25 19:22",
"Productivity ","02:43","2019-05-25 15:31","2019-05-25 18:14",
"Social / family","01:59","2019-05-25 13:31","2019-05-25 15:31",
"Food","00:51","2019-05-25 12:40","2019-05-25 13:31",
"Productivity ","02:44","2019-05-25 09:56","2019-05-25 12:40",
"Work CAIJ corpo","00:31","2019-05-25 09:24","2019-05-25 09:56",
"Food","00:28","2019-05-25 08:55","2019-05-25 09:24",
"Routine","00:36","2019-05-25 08:19","2019-05-25 08:55",
"Sleep","09:31","2019-05-24 22:48","2019-05-25 08:19",
"Me time","00:34","2019-05-24 22:14","2019-05-24 22:48",
"Routine","00:40","2019-05-24 21:33","2019-05-24 22:13",
"Social / family","00:48","2019-05-24 20:44","2019-05-24 21:33",
"Transport","00:50","2019-05-24 19:41","2019-05-24 20:31",
"Food","00:36","2019-05-24 19:05","2019-05-24 19:41",
"Transport","00:29","2019-05-24 18:35","2019-05-24 19:05",
"Sport","07:46","2019-05-24 10:49","2019-05-24 18:35",
"Work CAIJ corpo","00:39","2019-05-24 10:09","2019-05-24 10:49",
"Work Orphic","00:43","2019-05-24 10:05","2019-05-24 10:49",
"Transport","02:52","2019-05-24 07:13","2019-05-24 10:05",
"Productivity ","00:37","2019-05-24 06:35","2019-05-24 07:13",
"Transport","00:10","2019-05-24 06:25","2019-05-24 06:35",
"Routine","00:16","2019-05-24 06:09","2019-05-24 06:25",
"Sleep","06:46","2019-05-23 23:22","2019-05-24 06:09",
"Routine","00:26","2019-05-23 22:56","2019-05-23 23:22",
"Food","00:43","2019-05-23 22:12","2019-05-23 22:56",
"Sport","00:02","2019-05-23 22:10","2019-05-23 22:12",
"Transport","00:20","2019-05-23 21:45","2019-05-23 22:05",
"Food","00:00","2019-05-23 21:45","2019-05-23 21:45",
"Productivity ","00:16","2019-05-23 21:28","2019-05-23 21:45",
"Transport","00:13","2019-05-23 21:15","2019-05-23 21:28",
"Social / family","02:12","2019-05-23 19:03","2019-05-23 21:15",
"Transport","00:10","2019-05-23 18:52","2019-05-23 19:03",
"Productivity ","00:48","2019-05-23 18:04","2019-05-23 18:52",
"Sleep","01:32","2019-05-23 16:08","2019-05-23 17:40",
"Transport","00:31","2019-05-23 15:36","2019-05-23 16:08",
"Food","01:01","2019-05-23 14:33","2019-05-23 15:35",
"Social / family","02:55","2019-05-23 11:38","2019-05-23 14:33",
"Transport","00:38","2019-05-23 10:59","2019-05-23 11:38",
"Work Orphic","00:44","2019-05-23 10:15","2019-05-23 10:59",
"Routine","00:26","2019-05-23 09:48","2019-05-23 10:15",
"Sleep","09:43","2019-05-23 00:05","2019-05-23 09:48",
"Routine","00:16","2019-05-22 23:49","2019-05-23 00:05",
"Social / family","03:57","2019-05-22 19:51","2019-05-22 23:49",
"Me time","01:21","2019-05-22 18:30","2019-05-22 19:51",
"Transport","00:22","2019-05-22 18:08","2019-05-22 18:30",
"Productivity ","00:55","2019-05-22 17:13","2019-05-22 18:08",
"Work Orphic","01:09","2019-05-22 16:03","2019-05-22 17:13",
"Productivity ","00:45","2019-05-22 15:17","2019-05-22 16:03",
"Work CAIJ corpo","00:35","2019-05-22 14:24","2019-05-22 15:00",""
"Work Orphic","02:22","2019-05-22 12:02","2019-05-22 14:24",
"Routine","00:29","2019-05-22 11:33","2019-05-22 12:02",
"Productivity ","00:58","2019-05-22 10:16","2019-05-22 11:15",
"Transport","00:39","2019-05-22 09:37","2019-05-22 10:16",
"Routine","00:05","2019-05-22 09:31","2019-05-22 09:37",
"Sleep","11:09","2019-05-21 22:22","2019-05-22 09:31",
"Routine","00:17","2019-05-21 22:04","2019-05-21 22:21",
"Social / family","00:33","2019-05-21 21:31","2019-05-21 22:04",
"Food","00:52","2019-05-21 20:39","2019-05-21 21:31",
"Transport","00:29","2019-05-21 20:10","2019-05-21 20:39",
"Sport","02:09","2019-05-21 18:00","2019-05-21 20:10",
"Social / family","00:26","2019-05-21 17:33","2019-05-21 18:00",
"Productivity ","02:55","2019-05-21 14:37","2019-05-21 17:33",
"Sleep","01:00","2019-05-21 13:37","2019-05-21 14:37",""
"Me time","01:23","2019-05-21 12:13","2019-05-21 13:37",""
"Transport","00:42","2019-05-21 11:30","2019-05-21 12:13",
"Class","01:58","2019-05-21 09:32","2019-05-21 11:30",
"Study","01:16","2019-05-21 08:16","2019-05-21 09:32",
"Class","00:00","2019-05-21 08:15","2019-05-21 08:16",
"Transport","01:14","2019-05-21 07:01","2019-05-21 08:15",
"Routine","00:30","2019-05-21 06:30","2019-05-21 07:01",
"Sleep","07:10","2019-05-20 23:20","2019-05-21 06:30",""
"Routine","00:12","2019-05-20 23:07","2019-05-20 23:20",""
"Transport","00:44","2019-05-20 22:22","2019-05-20 23:07",
"Social / family","03:28","2019-05-20 18:54","2019-05-20 22:22",
"Transport","00:47","2019-05-20 18:07","2019-05-20 18:54",
"Food","00:10","2019-05-20 17:57","2019-05-20 18:07",
"Work Orphic","00:39","2019-05-20 17:18","2019-05-20 17:57",
"Productivity ","00:47","2019-05-20 16:30","2019-05-20 17:18",""
"Food","00:53","2019-05-20 15:31","2019-05-20 16:24",
"Transport","00:21","2019-05-20 15:09","2019-05-20 15:31",
"Sport","02:04","2019-05-20 13:05","2019-05-20 15:09",""
"Transport","00:16","2019-05-20 12:49","2019-05-20 13:06",
"Productivity ","01:00","2019-05-20 11:49","2019-05-20 12:49",
"Routine","00:45","2019-05-20 11:03","2019-05-20 11:49",
"Sleep","08:55","2019-05-20 01:36","2019-05-20 10:32",
"Food","00:00","2019-05-20 01:36","2019-05-20 01:36",
"Routine","00:30","2019-05-20 01:06","2019-05-20 01:36",
"Conscious entertainment ","02:56","2019-05-19 22:10","2019-05-20 01:06",
"Food","01:44","2019-05-19 20:26","2019-05-19 22:10",
"Non-class learning/prod","00:34","2019-05-19 19:52","2019-05-19 20:26",
"Work Orphic","00:24","2019-05-19 19:27","2019-05-19 19:51",
"Work CAIJ corpo","00:12","2019-05-19 19:15","2019-05-19 19:27",
"Conscious entertainment ","01:02","2019-05-19 18:12","2019-05-19 19:15",
"Sport","00:57","2019-05-19 17:15","2019-05-19 18:12",
"Transport","00:07","2019-05-19 17:07","2019-05-19 17:15",
"Work Orphic","01:47","2019-05-19 15:20","2019-05-19 17:07",
"Social / family","00:58","2019-05-19 14:21","2019-05-19 15:20",
"Food","00:56","2019-05-19 13:24","2019-05-19 14:21",
"Me time","01:11","2019-05-19 12:12","2019-05-19 13:24",
"Food","00:26","2019-05-19 11:46","2019-05-19 12:12",
"Transport","00:23","2019-05-19 11:23","2019-05-19 11:46",
"Sleep","09:25","2019-05-19 02:00","2019-05-19 11:25",""
"Routine","00:58","2019-05-19 01:01","2019-05-19 02:00",""
"Social / family","00:10","2019-05-19 00:51","2019-05-19 01:01",
"Sport","00:39","2019-05-19 00:12","2019-05-19 00:51",
"Social / family","05:16","2019-05-18 18:55","2019-05-19 00:12",""
"Food","00:50","2019-05-18 18:04","2019-05-18 18:55",""
"Transport","00:22","2019-05-18 17:41","2019-05-18 18:04",
"Sport","00:44","2019-05-18 16:57","2019-05-18 17:41",
"Food","00:00","2019-05-18 16:57","2019-05-18 16:57",
"Transport","00:04","2019-05-18 16:52","2019-05-18 16:57",
"Social / family","00:36","2019-05-18 16:16","2019-05-18 16:52",
"Transport","00:07","2019-05-18 16:08","2019-05-18 16:16",
"Productivity ","01:41","2019-05-18 14:27","2019-05-18 16:08",
"Food","00:37","2019-05-18 13:49","2019-05-18 14:27",
"Study","00:21","2019-05-15 12:44","2019-05-15 13:06",
"Work FBA","00:17","2019-05-15 11:55","2019-05-15 12:13",
"Work Lumed","01:18","2019-05-15 10:37","2019-05-15 11:55",
"Sport","02:21","2019-05-15 09:02","2019-05-15 11:23",
"Time off tracking","138:24","2019-05-12 19:06","2019-05-18 13:30",""
"Time off tracking","28:50","2019-05-12 12:26","2019-05-13 17:17",
"Food","00:09","2019-05-12 12:17","2019-05-12 12:26",
"Routine","00:39","2019-05-12 11:34","2019-05-12 12:13",
"Social / family","00:40","2019-05-12 10:30","2019-05-12 11:10",""
"Sleep","07:30","2019-05-12 03:00","2019-05-12 10:30",""
"Social / family","08:53","2019-05-11 18:06","2019-05-12 03:00",""
"Productivity ","00:52","2019-05-11 17:14","2019-05-11 18:06",
"Transport","00:47","2019-05-11 16:26","2019-05-11 17:14",
"Productivity ","00:12","2019-05-11 16:14","2019-05-11 16:26",
"Transport","00:14","2019-05-11 15:59","2019-05-11 16:14",
"Conscious entertainment ","00:18","2019-05-11 15:41","2019-05-11 15:59",
"Productivity ","00:31","2019-05-11 15:09","2019-05-11 15:41",
"Transport","00:34","2019-05-11 14:34","2019-05-11 15:09",
"Social / family","01:38","2019-05-11 12:56","2019-05-11 14:34",
"Food","00:33","2019-05-11 12:16","2019-05-11 12:50",
"Routine","00:17","2019-05-11 11:58","2019-05-11 12:16",
"Sleep","10:40","2019-05-11 01:10","2019-05-11 11:50",""
"Social / family","02:32","2019-05-10 22:37","2019-05-11 01:10",""
"Transport","00:16","2019-05-10 22:20","2019-05-10 22:37",
"Social / family","00:52","2019-05-10 21:27","2019-05-10 22:20",
"Food","00:31","2019-05-10 20:56","2019-05-10 21:27",
"Social / family","02:44","2019-05-10 18:11","2019-05-10 20:56",
"Productivity ","00:11","2019-05-10 18:00","2019-05-10 18:11",
"Transport","00:24","2019-05-10 17:35","2019-05-10 18:00",
"Productivity ","00:20","2019-05-10 17:15","2019-05-10 17:35",
"Transport","00:06","2019-05-10 17:08","2019-05-10 17:15",
"Sport","01:32","2019-05-10 15:35","2019-05-10 17:08",
"Food","00:17","2019-05-10 15:18","2019-05-10 15:35",
"Me time","02:20","2019-05-10 12:57","2019-05-10 15:18",
"Routine","01:17","2019-05-10 11:40","2019-05-10 12:57",
"Sleep","11:37","2019-05-10 00:02","2019-05-10 11:40",
"Social / family","00:53","2019-05-09 23:08","2019-05-10 00:02",
"Conscious entertainment ","00:51","2019-05-09 22:17","2019-05-09 23:08",
"Productivity ","00:23","2019-05-09 21:54","2019-05-09 22:17",
"Transport","00:18","2019-05-09 21:35","2019-05-09 21:54",
"Social / family","02:38","2019-05-09 18:56","2019-05-09 21:35",
"Transport","00:08","2019-05-09 18:48","2019-05-09 18:56",
"Food","00:11","2019-05-09 18:36","2019-05-09 18:48",
"Productivity ","01:01","2019-05-09 17:35","2019-05-09 18:36",
"Conscious entertainment ","00:47","2019-05-09 16:47","2019-05-09 17:35",
"Work Orphic","00:28","2019-05-09 16:18","2019-05-09 16:47",
"Work Lumed","00:51","2019-05-09 15:27","2019-05-09 16:18",
"Food","00:59","2019-05-09 14:27","2019-05-09 15:27",
"Transport","00:36","2019-05-09 13:50","2019-05-09 14:27",
"Sport","01:57","2019-05-09 11:52","2019-05-09 13:50",
"Transport","00:32","2019-05-09 11:20","2019-05-09 11:52",
"Routine","00:33","2019-05-09 10:46","2019-05-09 11:19",
"Sleep","09:51","2019-05-09 00:54","2019-05-09 10:46",
"Routine","00:19","2019-05-09 00:35","2019-05-09 00:54",
"Social / family","05:33","2019-05-08 19:02","2019-05-09 00:35",
"Productivity ","00:15","2019-05-08 18:44","2019-05-08 19:00",
"Transport","00:16","2019-05-08 18:28","2019-05-08 18:44",
"Social / family","00:46","2019-05-08 17:41","2019-05-08 18:28",
"Transport","00:29","2019-05-08 17:12","2019-05-08 17:41",
"Conscious entertainment ","02:07","2019-05-08 15:04","2019-05-08 17:12",
"Work Orphic","00:50","2019-05-08 14:14","2019-05-08 15:04",
"Productivity ","01:16","2019-05-08 12:57","2019-05-08 14:14",
"Food","01:01","2019-05-08 11:55","2019-05-08 12:57",
"Work Orphic","01:01","2019-05-08 10:53","2019-05-08 11:55",
"Social / family","00:23","2019-05-08 10:30","2019-05-08 10:53",
"Sleep","09:18","2019-05-08 00:38","2019-05-08 09:56",
"Conscious entertainment ","00:16","2019-05-08 00:22","2019-05-08 00:38",
"Routine","00:16","2019-05-07 23:48","2019-05-08 00:05",
"Me time","00:34","2019-05-07 23:14","2019-05-07 23:48",
"Social / family","01:01","2019-05-07 22:12","2019-05-07 23:14",
"Food","00:45","2019-05-07 21:27","2019-05-07 22:12",
"Transport","00:28","2019-05-07 20:58","2019-05-07 21:27",
"Work Orphic","00:24","2019-05-07 20:00","2019-05-07 20:25",
"Class","02:18","2019-05-07 18:40","2019-05-07 20:58",
"Food","00:14","2019-05-07 18:25","2019-05-07 18:40",
"Transport","00:42","2019-05-07 17:43","2019-05-07 18:25",
"Social / family","00:15","2019-05-07 17:28","2019-05-07 17:43",
"Transport","00:08","2019-05-07 17:19","2019-05-07 17:28",
"Productivity ","03:07","2019-05-07 14:11","2019-05-07 17:19",
"Sport","01:37","2019-05-07 12:34","2019-05-07 14:11",
"Transport","00:35","2019-05-07 11:58","2019-05-07 12:34",
"Food","00:12","2019-05-07 11:46","2019-05-07 11:58",
"Transport","00:07","2019-05-07 11:38","2019-05-07 11:46",
"Class","02:06","2019-05-07 09:31","2019-05-07 11:38",
"Class","00:46","2019-05-07 08:44","2019-05-07 09:31",
"Transport","01:04","2019-05-07 07:40","2019-05-07 08:44",
"Routine","00:20","2019-05-07 07:19","2019-05-07 07:40",
"Sleep","05:57","2019-05-07 01:22","2019-05-07 07:19",
"Work Orphic","00:42","2019-05-07 00:39","2019-05-07 01:22",
"Routine","00:14","2019-05-07 00:24","2019-05-07 00:39",
"Food","00:00","2019-05-07 00:24","2019-05-07 00:24",
"Social / family","03:48","2019-05-06 20:35","2019-05-07 00:24",""
"Transport","00:26","2019-05-06 20:11","2019-05-06 20:38",""
"Work Orphic","01:08","2019-05-06 19:03","2019-05-06 20:11",
"Food","00:58","2019-05-06 18:05","2019-05-06 19:03",
"Transport","00:20","2019-05-06 17:45","2019-05-06 18:05",
"Sport","01:34","2019-05-06 16:10","2019-05-06 17:45",""
"Transport","00:10","2019-05-06 15:59","2019-05-06 16:10",""
"Productivity ","00:19","2019-05-06 15:40","2019-05-06 15:59",""
"Transport","00:20","2019-05-06 15:19","2019-05-06 15:40",""
"Productivity ","00:18","2019-05-06 15:00","2019-05-06 15:19",
"Food","00:25","2019-05-06 14:35","2019-05-06 15:00",
"Work Orphic","00:42","2019-05-06 13:53","2019-05-06 14:35",
"Productivity ","01:33","2019-05-06 12:19","2019-05-06 13:53",
"Sport","00:20","2019-05-06 11:58","2019-05-06 12:19",
"Transport","00:36","2019-05-06 11:22","2019-05-06 11:58",
"Study","00:00","2019-05-06 11:22","2019-05-06 11:22",
"Food","00:17","2019-05-06 11:04","2019-05-06 11:22",
"Routine","00:25","2019-05-06 10:39","2019-05-06 11:04",
"Sleep","11:07","2019-05-05 23:32","2019-05-06 10:39",
"Routine","00:47","2019-05-05 22:45","2019-05-05 23:32",
"Social / family","00:23","2019-05-05 22:21","2019-05-05 22:45",
"Study","01:15","2019-05-05 21:00","2019-05-05 22:15",""
"Food","00:34","2019-05-05 20:25","2019-05-05 21:00",""
"Social / family","01:55","2019-05-05 18:29","2019-05-05 20:25",
"Transport","00:15","2019-05-05 18:14","2019-05-05 18:29",
"Me time","00:13","2019-05-05 18:00","2019-05-05 18:14",
"Productivity ","01:26","2019-05-05 16:34","2019-05-05 18:00",
"Social / family","00:22","2019-05-05 16:11","2019-05-05 16:34",
"Sport","00:43","2019-05-05 15:28","2019-05-05 16:11",
"Social / family","03:14","2019-05-05 12:14","2019-05-05 15:28",
"Sleep","10:38","2019-05-05 01:35","2019-05-05 12:14",
